index,Playing Date,Link,Competition,Season,Stage,Match Url
1,"February 01, 2009",https://footballia.net/matches/racing-de-santander-fc-barcelona-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 21,https://footballia.net/uploads/video/source_file/15719/racbar2009.mp4	
2,"February 08, 2009",https://footballia.net/matches/fc-barcelona-sporting-de-gijon-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 22,http://94.130.16.97/uploads/video/source_file/25695/2008-09_Bar_a_-_Sporting.mp4	
3,"February 14, 2009",https://footballia.net/matches/real-betis-fc-barcelona-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 23,https://footballia.net/uploads/video/source_file/8822/betbar2009.mp4	
4,"February 21, 2009",https://footballia.net/matches/fc-barcelona-rcd-espanyol-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 24,https://footballia.net/uploads/video/source_file/1967/2008-2009-fcbarcelona-espanyol.mp4	
5,"February 24, 2009",https://footballia.net/matches/olympique-lyonnais-fc-barcelona-liga-1-division,Champions League,2008-2009,"Round of 16, 1st leg",https://footballia.net/uploads/video/source_file/10398/lyonbar2009__1_.mp4	
6,"March 01, 2009",https://footballia.net/matches/atletico-de-madrid-fc-barcelona-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 25,https://footballia.net/uploads/video/source_file/9263/atmbar.mp4	https://footballia.net/uploads/video/source_file/9264/atmbar2.mp4
7,"March 11, 2009",https://footballia.net/matches/fc-barcelona-olympique-lyonnais-champions-league,Champions League,2008-2009,"Round of 16, 2nd leg",https://footballia.net/uploads/video/source_file/966/2008-09_Bar_a_-_Lyon.mp4	
8,"March 22, 2009",https://footballia.net/matches/fc-barcelona-malaga-cf,Liga 1ª División,2008-2009,Jornada 28,https://footballia.net/uploads/video/source_file/1780/2008-09_Bar_a_-_M_laga.mp4	
9,"April 08, 2009",https://footballia.net/matches/fc-barcelona-bayern-munchen,Champions League,2008-2009,"Quarter-finals, 1st leg",https://footballia.net/uploads/video/source_file/967/2008-09_Bar_a_-_Bayern.mp4	
10,"April 11, 2009",https://footballia.net/matches/recreativo-de-huelva-fc-barcelona,Liga 1ª División,2008-2009,Jornada 30,http://94.130.16.97/uploads/video/source_file/23595/2008-09_Bar_a_-_Recreativo.mp4	
11,"April 14, 2009",https://footballia.net/matches/bayern-munchen-fc-barcelona-champions-league-2008-2009,Champions League,2008-2009,"Quarter-finals, 2nd leg",https://footballia.net/uploads/video/source_file/10400/baybar2009.mp4	
12,"April 22, 2009",https://footballia.net/matches/fc-barcelona-sevilla-fc-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 32,https://footballia.net/uploads/video/source_file/968/2008-09_Bar_a_-_Sevilla.mp4	
13,"April 25, 2009",https://footballia.net/matches/valencia-cf-fc-barcelona-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 33,https://footballia.net/uploads/video/source_file/10190/2008-09_Valencia_-_Bar_a.mp4	
14,"April 28, 2009",https://footballia.net/matches/fc-barcelona-chelsea-fc-champions-league-2008-2009,Champions League,2008-2009,"Semi-final, 1st leg",https://footballia.net/uploads/video/source_file/10008/2009BarChe.mp4	
15,"May 02, 2009",https://footballia.net/matches/real-madrid-fc-barcelona-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 34,https://footballia.net/uploads/video/source_file/5958/2008-09_R._Madrid_-_Bar_a.mp4	
16,"May 06, 2009",https://footballia.net/matches/chelsea-fc-fc-barcelona-champions-league,Champions League,2008-2009,"Semi-final, 2nd leg",https://footballia.net/uploads/video/source_file/972/2008-09_Chelsea_-_Bar_a.mp4	
17,"May 13, 2009",https://footballia.net/matches/fc-barcelona-athletic-de-bilbao-copa-del-rey,Copa del Rey,2008-2009,Final,https://footballia.net/uploads/video/source_file/973/2008-09_Bar_a_-_Ath._Bilbao__Copa_.mp4	
18,"May 27, 2009",https://footballia.net/matches/fc-barcelona-manchester-united-champions-league,Champions League,2008-2009,Final,https://footballia.net/uploads/video/source_file/975/2008-09_Bar_a_-_Man_Utd.mp4	
19,"May 30, 2009",https://footballia.net/matches/deportivo-de-la-coruna-fc-barcelona-liga-1-division-2008-2009,Liga 1ª División,2008-2009,Jornada 38,http://94.130.16.97/uploads/video/source_file/23892/2008-09_Deportivo_-_Bar_a.mp4	
20,"August 16, 2009",https://footballia.net/matches/athletic-de-bilbao-fc-barcelona-supercopa-2009,Supercopa,2009,"Final, ida",https://footballia.net/uploads/video/source_file/5013/2009AthFcbSC.mp4	
21,"August 23, 2009",https://footballia.net/matches/fc-barcelona-athletic-de-bilbao-supercopa,Supercopa,2009,"Final, vuelta",https://footballia.net/uploads/video/source_file/979/2009-10_Bar_a_-_Ath._Bilbao__Supercopa_.mp4	
22,"August 28, 2009",https://footballia.net/matches/fc-barcelona-shakhtar-donetsk,Super Cup,2009,Final,https://footballia.net/uploads/video/source_file/980/2009-10_Bar_a_-_Shakhtar_-_1.mp4	https://footballia.net/uploads/video/source_file/981/2009-10_Bar_a_-_Shakhtar_-_2.mp4
23,"September 19, 2009",https://footballia.net/matches/fc-barcelona-atletico-de-madrid-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 3,https://footballia.net/uploads/video/source_file/983/2009-10_Bar_a_-_At._Madrid.mp4	
24,"September 22, 2009",https://footballia.net/matches/racing-de-santander-fc-barcelona-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 4,https://footballia.net/uploads/video/source_file/16908/2009-10_Racing_-_Bar_a.mp4	
25,"October 20, 2009",https://footballia.net/matches/fc-barcelona-rubin-kazan,Champions League,2009-2010,"Group stage, matchday 3",https://footballia.net/uploads/video/source_file/8280/2009FcbKaz1st.mp4	https://footballia.net/uploads/video/source_file/8281/2009FcbKaz2nd.mp4
26,"October 25, 2009",https://footballia.net/matches/fc-barcelona-real-zaragoza-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 8,https://footballia.net/uploads/video/source_file/2534/2009-10_Bar_a_-_Zaragoza.mp4	
27,"October 28, 2009",https://footballia.net/matches/cultural-leonesa-fc-barcelona,Copa del Rey,2009-2010,"Round of 32, 1st leg",https://footballia.net/uploads/video/source_file/4416/2009CulBar1st.mp4	https://footballia.net/uploads/video/source_file/4417/2009CulBar2nd.mp4
28,"November 24, 2009",https://footballia.net/matches/fc-barcelona-fc-internazionale-champions-league,Champions League,2009-2010,"Group stage, matchday 5",https://footballia.net/uploads/video/source_file/990/2009-10_Bar_a_-_Inter__Liguilla_.mp4	
29,"November 29, 2009",https://footballia.net/matches/fc-barcelona-real-madrid-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 12,https://footballia.net/uploads/video/source_file/991/2009-10_Bar_a_-_R._Madrid.mp4	
30,"December 05, 2009",https://footballia.net/matches/deportivo-de-la-coruna-fc-barcelona-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 13,http://94.130.16.97/uploads/video/source_file/25974/2009-10_Deportivo_-_Bar_a.mp4	
31,"December 09, 2009",https://footballia.net/matches/dynamo-kyiv-fc-barcelona-champions-league-2009-2010,Champions League,2009-2010,"Group stage, matchday 6",http://94.130.16.97/uploads/video/source_file/25986/2009-10_D._Kiev_-_Bar_a.mp4	
32,"December 16, 2009",https://footballia.net/matches/fc-barcelona-cf-atlante,Club World Cup,2009,Semi-final,https://footballia.net/uploads/video/source_file/992/2009_Bar_a_-_Atlante.mp4	
33,"December 19, 2009",https://footballia.net/matches/estudiantes-de-la-plata-fc-barcelona,Club World Cup,2009,Final,https://footballia.net/uploads/video/source_file/993/2009_Bar_a_-_Estudiantes_-_1.mp4	https://footballia.net/uploads/video/source_file/994/2009_Bar_a_-_Estudiantes_-_2.mp4
34,"January 05, 2010",https://footballia.net/matches/fc-barcelona-sevilla-fc-copa-del-rey-2009-2010,Copa del Rey,2009-2010,"Octavos de final, ida",https://footballia.net/uploads/video/source_file/4484/2010BarSevCR1st.mp4	https://footballia.net/uploads/video/source_file/4485/2010BarSevCR2nd.mp4
35,"January 10, 2010",https://footballia.net/matches/cd-tenerife-fc-barcelona,Liga 1ª División,2009-2010,Jornada 17,https://footballia.net/uploads/video/source_file/1818/2009-10_Tenerife_-_Bar_a.mp4	
36,"January 13, 2010",https://footballia.net/matches/sevilla-fc-fc-barcelona-copa-del-rey,Copa del Rey,2009-2010,"Octavos de final, vuelta",https://footballia.net/uploads/video/source_file/4451/2010SevBar1st.mp4	https://footballia.net/uploads/video/source_file/4452/2010SevBar2nd.mp4
37,"January 16, 2010",https://footballia.net/matches/fc-barcelona-sevilla-fc-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 18,https://footballia.net/uploads/video/source_file/995/2009-10_Bar_a_-_Sevilla.mp4	
38,"January 23, 2010",https://footballia.net/matches/real-valladolid-fc-barcelona-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 19,http://94.130.16.97/uploads/video/source_file/18176/valbar2010.mp4	
